@info
{
    "table":{
        "name":"candset_minus_gold",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"video_games",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbId",
                "type":"INTEGER"
            },
            {
                "name":"MobyGamesId",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbName",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesName",
                "type":"TEXT"
            },
            {
                "name":"theGamesDbDate",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesDate",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,theGamesDbId:INTEGER,MobyGamesId:INTEGER,theGamesDbName:TEXT,MobyGamesName:TEXT,theGamesDbDate:TEXT,MobyGamesDate:TEXT
200,1307,5573,b'UFC 2009 Undisputed',b'UFC 2009 Undisputed',05/19/2009,05/19/2009
201,917,5303,b'Pro Evolution Soccer 2007',b'PES 2012: Pro Evolution Soccer',02/06/2007,09/27/2011
202,1504,2531,b'Beyond: Two Souls',b'Beyond: Two Souls',10/08/2013,10/08/2013
203,3414,643,b'Petz Sports Dog Playground',b'Skylanders Giants: Bash (Series 2) / Spyro (Series 2) / Hot Dog',,06/18/2013
204,1742,2067,b'E.X. Troopers',b'Shock Troopers',11/22/2012,08/30/2011
205,2531,1644,b'Skylanders Giants Portal Owners Pack',b'Skylanders Giants: Drobot (LightCore)',10/21/2012,10/21/2012
206,632,4320,b'Lego Batman: The Videogame',b'LEGO Indiana Jones 2: The Adventure Continues ',09/23/2008,11/17/2009
207,1109,5690,b'Soul Calibur IV & Tekken 6',"b""Assassin's Creed IV: Black Flag""",10/30/2012,10/29/2013
208,447,1476,b'Final Fight: Double Impact',b'Lightning Returns: Final Fantasy XIII - Flower of Battle',04/14/2010,01/28/2014
209,3490,4816,b'Samba de Amigo',b'Gakkou de atta Kowai Hanashi',09/26/2008,08/05/2008
210,2551,206,b'Soldner-X 2: Final Prototype',"b""Final Fantasy XIII-2: Noel's Weapon - Muramasa""",05/25/2010,03/06/2012
