@info
{
    "table":{
        "name":"pt_brand_candset",
        "description":"",
        "idAttrib":{
            "name":"pairId",
            "type":"INTEGER"
        },
        "projectName":"wgec_amazon_samsung",
        "attributes":[
            {
                "name":"pairId",
                "type":"INTEGER"
            },
            {
                "name":"samsung.id",
                "type":"TEXT"
            },
            {
                "name":"amazon.id",
                "type":"TEXT"
            },
            {
                "name":"samsung.Product_Type",
                "type":"TEXT"
            },
            {
                "name":"samsung.Product_Name",
                "type":"TEXT"
            },
            {
                "name":"samsung.Brand",
                "type":"TEXT"
            },
            {
                "name":"amazon.Product_Type",
                "type":"TEXT"
            },
            {
                "name":"amazon.Product_Name",
                "type":"TEXT"
            },
            {
                "name":"amazon.Brand",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairId:INTEGER,samsung.id:TEXT,amazon.id:TEXT,samsung.Product_Type:TEXT,samsung.Product_Name:TEXT,samsung.Brand:TEXT,amazon.Product_Type:TEXT,amazon.Product_Name:TEXT,amazon.Brand:TEXT
75,137,8981,"[""default""]","[""Samsung Gear\u201aÑ¢ Circle, Black""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
76,36,8981,"[""default""]","[""IA-BP85ST""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
77,178,8981,"[""default""]","[""MX-H835 Giga System""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
78,217,8981,"[""default""]","[""Radiant-360 R7""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
79,16,8981,"[""default""]","[""MLT-D104X""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
80,157,8981,"[""default""]","[""Portable SSD T1 1TB""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
81,14,8981,"[""default""]","[""Samsung WS80A Elite Ultrasound""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
82,37,8981,"[""default""]","[""TW-J5500 Sound Tower""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
83,38,8981,"[""default""]","[""15\u201aÄù pedestal for washers or dryers \u201aÄì Blue Steel""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
84,12,8981,"[""default""]","[""Evolution Kit""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
85,153,8981,"[""default""]","[""SSD 840 EVO 2.5\"" SATA III 750GB""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
86,171,8981,"[""default""]","[""SSD 850 EVO mSATA 1TB""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
87,173,8981,"[""default""]","[""CY-TE65LCC - 65\u201aÄù Touch Overlay""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
88,101,8981,"[""default""]","[""15\u201aÄù pedestal for washers or dryers \u201aÄì Platinum""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
89,100,8981,"[""default""]","[""15\"" pedestal for washers or dryers - Breakwater Blue""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
90,204,8981,"[""default""]","[""LPKIT-3Conversion Kit""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
91,145,8981,"[""default""]","[""Samsung SHAPE\u201aÑ¢ M7 (White) Wireless Audio Speaker""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
92,96,8981,"[""default""]","[""SSD 850 EVO 2.5\"" SATA III 1TB""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
93,121,8981,"[""default""]","[""SSD 850 PRO 2.5\"" SATA III 1TB""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
94,45,8981,"[""default""]","[""MX-HS9000 Giga System""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
95,44,8981,"[""default""]","[""Samsung SHAPE\u201aÑ¢ M7 (Black) Wireless Audio Speaker""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
96,92,8981,"[""default""]","[""Gear\u201aÑ¢ Live, Black""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
97,209,8981,"[""default""]","[""SSD 840 EVO 2.75mm mSATA 1TB""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
98,162,8981,"[""default""]","[""15\"" pedestal for washers or dryers - Stratus Gray""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
99,10,8981,"[""default""]","[""Samsung SHAPE\u201aÑ¢ M5 (Black) Wireless Audio Speaker""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
100,182,8981,"[""default""]","[""IA-BH130LB""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
101,30,8981,"[""default""]","[""Samsung SHAPE\u201aÑ¢ M3 (Black) Wireless Audio Speaker""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
102,51,8981,"[""default""]","[""Smart Media Player""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
103,54,8981,"[""default""]","[""Gear\u201aÑ¢ Live, Wine Red""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
104,140,8981,"[""default""]","[""Samsung SHAPE\u201aÑ¢ M5 (White) Wireless Audio Speaker""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
105,76,8981,"[""default""]","[""SSD 850 EVO M.2 500GB""]","[""Samsung""]","[""default""]","[""SAMSUNG EXON Fingerprint Digital Door Lock SHS-5230""]","[""Samsung""]"
