@info
{
    "table":{
        "name":"wv_candset",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"wgec_el_2",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"walmart.id",
                "type":"TEXT"
            },
            {
                "name":"vendor.id",
                "type":"TEXT"
            }
        ]
    }
}

@data
pairID:INTEGER,walmart.id:TEXT,vendor.id:TEXT
572,12528319,12528319#eBags
573,17208278,17208278#ivgStores
574,17218998,17218998#ivgStores
575,12548023,12548023#eBags
576,12548336,12548336#eBags
577,42890771,42890771#Babyhaven
578,13059364,13059364#eBags
580,13219571,13219571#eBags
581,13246599,13246599#eBags
582,13246601,13246601#eBags
583,13246679,13246679#eBags
584,13246714,13246714#eBags
585,13252762,13252762#eBags
586,13361243,13361243#eBags
587,13376611,13376611#eBags
588,13447814,13447814#eBags
589,13730088,13730088#eBags
590,13730090,13730090#eBags
591,13730093,13730093#eBags
592,13730102,13730102#eBags
593,13730105,13730105#eBags
594,14005574,14005574#eBags
595,17395958,17395958#ivgStores
596,14032250,14032250#eBags
597,14089787,14089787#eBags
598,14313258,14313258#eBags
599,14313310,14313310#eBags
600,14562763,14562763#eBags
601,14562788,14562788#eBags
602,14574803,14574803#eBags
603,14574804,14574804#eBags
604,14664901,14664901#eBags
605,14712517,14712517#eBags
606,14898797,14898797#eBags
607,14967510,14967510#eBags
608,14972567,14972567#eBags
609,14972570,14972570#eBags
610,15040066,15040066#eBags
611,15040740,15040740#eBags
612,15040750,15040750#eBags
613,29985123,29985123#Perf-Moto
614,15042325,15042325#eBags
615,15048335,15048335#eBags
616,15081013,15081013#eBags
617,15229562,15229562#eBags
618,15406794,15406794#eBags
619,15435530,15435530#eBags
620,15525112,15525112#eBags
621,15525117,15525117#eBags
622,15525122,15525122#eBags
623,15525133,15525133#eBags
624,15637078,15637078#eBags
625,15676265,15676265#eBags
626,15706009,15706009#eBags
627,15706011,15706011#eBags
628,15720536,15720536#eBags
629,15738972,15738972#eBags
630,15751620,15751620#eBags
631,15751626,15751626#eBags
632,15751644,15751644#eBags
633,15751645,15751645#eBags
634,15751687,15751687#eBags
635,16480776,16480776#eBags
636,16489713,16489713#eBags
637,16489717,16489717#eBags
638,16531460,16531460#eBags
639,16531857,16531857#eBags
640,16561685,16561685#eBags
641,16561746,16561746#eBags
642,29988577,29988577#Perf-Moto
643,16561780,16561780#eBags
644,16561789,16561789#eBags
645,16561790,16561790#eBags
646,29988659,29988659#Perf-Moto
647,16565527,16565527#eBags
648,16565528,16565528#eBags
649,16621320,16621320#eBags
650,16641305,16641305#eBags
651,16641313,16641313#eBags
652,16660861,16660861#eBags
653,16662758,16662758#eBags
654,16679657,16679657#eBags
655,16794803,16794803#eBags
656,16794805,16794805#eBags
657,16794822,16794822#eBags
658,16794858,16794858#eBags
659,16945379,16945379#eBags
660,16946435,16946435#eBags
661,17129657,17129657#eBags
662,17133395,17133395#eBags
663,17134146,17134146#eBags
664,17134162,17134162#eBags
665,17176660,17176660#eBags
666,17176671,17176671#eBags
667,17182008,17182008#eBags
668,17182023,17182023#eBags
669,17182024,17182024#eBags
670,17182072,17182072#eBags
671,17209475,17209475#eBags
672,17211174,17211174#eBags
673,17211204,17211204#eBags
674,17211207,17211207#eBags
675,17211248,17211248#eBags
676,17277014,17277014#eBags
677,17277023,17277023#eBags
678,17352815,17352815#eBags
679,17395938,17395938#eBags
680,17395976,17395976#eBags
681,17395984,17395984#eBags
682,17510955,17510955#eBags
683,17510956,17510956#eBags
684,17787033,17787033#eBags
685,17787038,17787038#eBags
686,17811879,17811879#eBags
687,17811891,17811891#eBags
688,19410149,19410149#ivgStores
689,19418581,19418581#ivgStores
690,19400593,19400593#eBags
691,19480521,19480521#eBags
692,19500425,19500425#eBags
693,19500458,19500458#eBags
694,19633522,19633522#ivgStores
695,19519656,19519656#eBags
696,19519683,19519683#eBags
697,19519717,19519717#eBags
698,19530828,19530828#eBags
699,42890258,42890258#Babyhaven
700,19612976,19612976#eBags
701,19858305,19858305#eBags
702,19977241,19977241#eBags
703,10073811,10073811#eBags
704,29996303,29996303#Perf-Moto
705,10737654,10737654#eBags
706,10811437,10811437#eBags
707,10988706,10988706#eBags
708,11084236,11084236#eBags
709,11084247,11084247#eBags
710,11090784,11090784#eBags
711,11988068,11988068#eBags
712,11997529,11997529#eBags
713,12086223,12086223#eBags
714,12179435,12179435#eBags
715,12179437,12179437#eBags
716,12179618,12179618#eBags
717,12180073,12180073#eBags
718,12180083,12180083#eBags
719,19788780,19788780#ivgStores
720,10226394,10226394#ivgStores
721,12181146,12181146#eBags
722,10298536,10298536#ivgStores
723,10353091,10353091#ivgStores
724,10363842,10363842#ivgStores
725,10363849,10363849#ivgStores
726,12181727,12181727#eBags
727,10401098,10401098#ivgStores
728,12181728,12181728#eBags
729,10714495,10714495#ivgStores
730,10737653,10737653#ivgStores
731,10746776,10746776#ivgStores
732,12183390,12183390#eBags
733,10993523,10993523#ivgStores
734,11002017,11002017#ivgStores
735,11027892,11027892#ivgStores
736,12184895,12184895#eBags
737,11319424,11319424#ivgStores
738,11319438,11319438#ivgStores
739,11962151,11962151#ivgStores
740,11968852,11968852#ivgStores
741,29197041,29197041#Perf-Moto
742,12185458,12185458#eBags
